,point_id,lon,lat,target,geometry,index_right,NAME,bus_stop_300,location,railway,n_railway,n_mobile,n_electronics
0,ommNZCUV,37.590776,55.84863000000001,-0.34815737860381524,POINT (37.590776 55.84863000000001),41,Москва,6,,206.09,2.0,8.0,1.0
1,nMe2LHPb,37.784209999999995,55.750271,1.294206304946465,POINT (37.78420999999999 55.750271),41,Москва,9,,212.708,1.0,8.0,1.0
3,0t2jNYdz,37.704570000000004,55.782019999999996,-1.1693392203789554,POINT (37.70457 55.78202),41,Москва,7,,140.29000000000002,2.0,11.0,7.0
4,U27W4QJ7,37.643983,55.730188,-0.08883679699061309,POINT (37.643983 55.730188),41,Москва,5,,335.01099999999997,3.0,12.0,1.0
7,CO76tdVs,37.444303999999995,55.850511,0.21370388155812275,POINT (37.444304 55.850511),41,Москва,6,,266.035,1.0,8.0,4.0
11,XPqFCntc,37.437191,55.664705000000005,-0.5642578632814836,POINT (37.437191 55.664705),41,Москва,5,,1079.2279999999998,1.0,6.0,2.0
14,Nj7qV6KG,37.799786,55.793427,0.4730244631713249,POINT (37.799786 55.793427),41,Москва,12,,176.18900000000002,1.0,8.0,0.0
15,E2fZAexI,37.40478,55.81024,-0.5642578632814836,POINT (37.40478 55.81024),41,Москва,3,,970.333,1.0,4.0,2.0
19,e5ZywFU6,37.730449,55.706607999999996,0.3865842693002575,POINT (37.730449 55.706608),41,Москва,9,,350.0919999999999,1.0,12.0,1.0
21,wXDJYllD,37.597414,55.850995,0.6459048509134596,POINT (37.597414 55.850995),41,Москва,3,,658.4730000000001,2.0,7.0,1.0
27,tFr5ROxI,37.825155,55.724123999999996,-0.4345975724748826,POINT (37.825155 55.724124),41,Москва,8,,1624.9610000000002,1.0,7.0,3.0
28,kg8oDow1,37.628508000000004,55.759601,-1.2557794142500227,POINT (37.628508 55.759601),41,Москва,11,,72.15400000000001,10.0,15.0,11.0
29,0eSE1PRt,37.491046000000004,55.683744,-0.30493728166828155,POINT (37.491046 55.683744),41,Москва,1,,836.804,2.0,2.0,0.0
30,dFRJyrdz,37.595278,55.58303299999999,-0.045616700055079396,POINT (37.595278 55.58303299999999),41,Москва,5,,104.23400000000001,1.0,8.0,0.0
31,IVSpPooR,37.538765000000005,55.908623,-1.0396789295723543,POINT (37.53876500000001 55.908623),41,Москва,6,,587.58,1.0,0.0,7.0
32,ePTGtnXP,37.535637,55.691697999999995,-0.34815737860381524,POINT (37.535637 55.691698),41,Москва,9,,179.985,1.0,4.0,0.0
